resource_path,id_slug,card_id,card_name,description,icon_path,cost,tags,combat_skill_path,element,targeting_type,monster_owners
res://resources/skill_cards/bmob.tres,bmob,,炸弹,爆炸扩散伤害中间灼烧。,res://res/skillcard/fire_skill_card.png,211,扩散伤害;灼烧,res://resources/combat_skills/bmob.tres,5,6,
res://resources/skill_cards/earth_magic_houtufenglingmai.tres,earth_magic_houtufenglingmai,,厚土封灵脉,对单体敌人造成70点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,60,高额伤害,res://resources/combat_skills/earth_magic_houtufenglingmai.tres,4,1,res://resources/monster/merchant_heixinyongbing.tres;res://resources/monster/rockwall_yankeshou.tres;res://resources/monster/sandpile_huangshayanyinshou.tres;res://resources/monster/treasurechest_mibaoshiying.tres
res://resources/skill_cards/earth_magic_shachenlongtiandi.tres,earth_magic_shachenlongtiandi,,沙尘笼天地,对所有敌人造成10点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,20,范围伤害,res://resources/combat_skills/earth_magic_shachenlongtiandi.tres,4,2,res://resources/monster/merchant_heixinyongbing.tres;res://resources/monster/rockwall_shijiashouwei.tres;res://resources/monster/rockwall_yankeshou.tres;res://resources/monster/treasurechest_mibaoshiying.tres
res://resources/skill_cards/earth_magic_shixiao.tres,earth_magic_shixiao,,石啸,对单体敌人造成10点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,10,单体伤害,res://resources/combat_skills/earth_magic_shixiao.tres,4,1,res://resources/monster/rockwall_lieyanjuling.tres;res://resources/monster/rockwall_shijiashouwei.tres;res://resources/monster/rockwall_yankeshou.tres
res://resources/skill_cards/earth_magic_tushu.tres,earth_magic_tushu,,土术,对单体敌人造成5点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,10,单体伤害,res://resources/combat_skills/earth_magic_tushu.tres,4,1,res://resources/monster/fertileland_dimaiyao.tres;res://resources/monster/fertileland_wotuyinmo.tres;res://resources/monster/rockwall_lieyanjuling.tres;res://resources/monster/rockwall_shijiashouwei.tres
res://resources/skill_cards/earth_magic_zhentujue.tres,earth_magic_zhentujue,,镇土诀,对随机敌人造成30点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,20,随机伤害,res://resources/combat_skills/earth_magic_zhentujue.tres,4,5,res://resources/monster/fertileland_nizhaogenxuguai.tres;res://resources/monster/fertileland_wotuyinmo.tres;res://resources/monster/rockwall_lieyanjuling.tres;res://resources/monster/rockwall_shijiashouwei.tres
res://resources/skill_cards/earth_magic_zhuoyanyin.tres,earth_magic_zhuoyanyin,,浊岩引,对单体敌人造成20点土属性法术伤害，并对相邻敌人造成10点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,30,扩散伤害,res://resources/combat_skills/earth_magic_zhuoyanyin.tres,4,6,res://resources/monster/fertileland_nizhaogenxuguai.tres;res://resources/monster/fertileland_wotuyinmo.tres;res://resources/monster/rockwall_lieyanjuling.tres;res://resources/monster/sandpile_liushashaxie.tres
res://resources/skill_cards/earth_phys_chenyansuiqianjun.tres,earth_phys_chenyansuiqianjun,,沉岩碎千钧,对单体敌人造成70点土属性物理伤害。,res://res/skillcard/earth_skill_card.png,60,高额伤害,res://resources/combat_skills/earth_phys_chenyansuiqianjun.tres,4,1,res://resources/monster/fertileland_nizhaogenxuguai.tres;res://resources/monster/fertileland_wotuyinmo.tres;res://resources/monster/rockwall_lieyanjuling.tres;res://resources/monster/sandpile_huangmoshaxingshou.tres;res://resources/monster/sandpile_liushashaxie.tres
res://resources/skill_cards/earth_phys_houtuzhensifang.tres,earth_phys_houtuzhensifang,,厚土镇四方,对所有敌人造成10点土属性物理伤害。,res://res/skillcard/earth_skill_card.png,20,范围伤害,res://resources/combat_skills/earth_phys_houtuzhensifang.tres,4,2,res://resources/monster/fertileland_nizhaogenxuguai.tres;res://resources/monster/rockwall_lieyanjuling.tres;res://resources/monster/sandpile_huangmoshaxingshou.tres;res://resources/monster/sandpile_huangshayanyinshou.tres;res://resources/monster/sandpile_liushashaxie.tres
res://resources/skill_cards/earth_phys_panshizhuang.tres,earth_phys_panshizhuang,,磐石撞,对单体敌人造成20点土属性物理伤害，并对相邻敌人造成10点土属性物理伤害。,res://res/skillcard/earth_skill_card.png,30,扩散伤害,res://resources/combat_skills/earth_phys_panshizhuang.tres,4,6,res://resources/monster/fertileland_nizhaogenxuguai.tres;res://resources/monster/merchant_heixinyongbing.tres;res://resources/monster/sandpile_huangmoshaxingshou.tres;res://resources/monster/sandpile_huangshayanyinshou.tres;res://resources/monster/sandpile_liushashaxie.tres;res://resources/monster/undergroundlake_didi_youlinshou.tres
